title="Potential"
variables = "x","y","U(V)"
zone i=81,j=81
0 0 0
0.01 0 0
0.02 0 0
0.03 0 0
0.04 0 0
0.05 0 0
0.06 0 0
0.07 0 0
0.08 0 0
0.09 0 0
0.1 0 0
0.11 0 0
0.12 0 0
0.13 0 0
0.14 0 0
0.15 0 0
0.16 0 0
0.17 0 0
0.18 0 0
0.19 0 0
0.2 0 0
0.21 0 0
0.22 0 0
0.23 0 0
0.24 0 0
0.25 0 0
0.26 0 0
0.27 0 0
0.28 0 0
0.29 0 0
0.3 0 0
0.31 0 0
0.32 0 0
0.33 0 0
0.34 0 0
0.35 0 0
0.36 0 0
0.37 0 0
0.38 0 0
0.39 0 0
0.4 0 0
0.41 0 0
0.42 0 0
0.43 0 0
0.44 0 0
0.45 0 0
0.46 0 0
0.47 0 0
0.48 0 0
0.49 0 0
0.5 0 0
0.51 0 0
0.52 0 0
0.53 0 0
0.54 0 0
0.55 0 0
0.56 0 0
0.57 0 0
0.58 0 0
0.59 0 0
0.6 0 0
0.61 0 0
0.62 0 0
0.63 0 0
0.64 0 0
0.65 0 0
0.66 0 0
0.67 0 0
0.68 0 0
0.69 0 0
0.7 0 0
0.71 0 0
0.72 0 0
0.73 0 0
0.74 0 0
0.75 0 0
0.76 0 0
0.77 0 0
0.78 0 0
0.79 0 0
0.8 0 0
0 0.01 2.01851
0.01 0.01 2.01757
0.02 0.01 2.01475
0.03 0.01 2.01006
0.04 0.01 2.0035
0.05 0.01 1.9951
0.06 0.01 1.98486
0.07 0.01 1.97281
0.08 0.01 1.95898
0.09 0.01 1.94338
0.1 0.01 1.92607
0.11 0.01 1.90708
0.12 0.01 1.88645
0.13 0.01 1.86423
0.14 0.01 1.84049
0.15 0.01 1.81528
0.16 0.01 1.78868
0.17 0.01 1.76075
0.18 0.01 1.73157
0.19 0.01 1.70123
0.2 0.01 1.6698
0.21 0.01 1.63739
0.22 0.01 1.60407
0.23 0.01 1.56995
0.24 0.01 1.53513
0.25 0.01 1.49969
0.26 0.01 1.46374
0.27 0.01 1.42736
0.28 0.01 1.39067
0.29 0.01 1.35374
0.3 0.01 1.31666
0.31 0.01 1.27952
0.32 0.01 1.24241
0.33 0.01 1.2054
0.34 0.01 1.16855
0.35 0.01 1.13194
0.36 0.01 1.09563
0.37 0.01 1.05968
0.38 0.01 1.02413
0.39 0.01 0.989033
0.4 0.01 0.954425
0.41 0.01 0.920341
0.42 0.01 0.886812
0.43 0.01 0.853861
0.44 0.01 0.821508
0.45 0.01 0.78977
0.46 0.01 0.758656
0.47 0.01 0.728175
0.48 0.01 0.698331
0.49 0.01 0.669124
0.5 0.01 0.640552
0.51 0.01 0.612609
0.52 0.01 0.585289
0.53 0.01 0.55858
0.54 0.01 0.532472
0.55 0.01 0.50695
0.56 0.01 0.481999
0.57 0.01 0.457602
0.58 0.01 0.433741
0.59 0.01 0.410398
0.6 0.01 0.387552
0.61 0.01 0.365183
0.62 0.01 0.343268
0.63 0.01 0.321787
0.64 0.01 0.300716
0.65 0.01 0.280032
0.66 0.01 0.259712
0.67 0.01 0.239733
0.68 0.01 0.22007
0.69 0.01 0.2007
0.7 0.01 0.181599
0.71 0.01 0.162742
0.72 0.01 0.144105
0.73 0.01 0.125664
0.74 0.01 0.107394
0.75 0.01 0.0892705
0.76 0.01 0.0712695
0.77 0.01 0.0533665
0.78 0.01 0.0355369
0.79 0.01 0.0177562
0.8 0.01 0
0 0.02 4.03889
0.01 0.02 4.03701
0.02 0.02 4.03137
0.03 0.02 4.02198
0.04 0.02 4.00886
0.05 0.02 3.99203
0.06 0.02 3.97154
0.07 0.02 3.94741
0.08 0.02 3.91971
0.09 0.02 3.88849
0.1 0.02 3.85382
0.11 0.02 3.81579
0.12 0.02 3.77448
0.13 0.02 3.72999
0.14 0.02 3.68245
0.15 0.02 3.63197
0.16 0.02 3.57869
0.17 0.02 3.52275
0.18 0.02 3.46431
0.19 0.02 3.40353
0.2 0.02 3.3406
0.21 0.02 3.27567
0.22 0.02 3.20895
0.23 0.02 3.14062
0.24 0.02 3.07087
0.25 0.02 2.99989
0.26 0.02 2.92789
0.27 0.02 2.85505
0.28 0.02 2.78157
0.29 0.02 2.70762
0.3 0.02 2.63338
0.31 0.02 2.55903
0.32 0.02 2.48472
0.33 0.02 2.41062
0.34 0.02 2.33686
0.35 0.02 2.26359
0.36 0.02 2.19091
0.37 0.02 2.11895
0.38 0.02 2.04781
0.39 0.02 1.97758
0.4 0.02 1.90832
0.41 0.02 1.84013
0.42 0.02 1.77304
0.43 0.02 1.70712
0.44 0.02 1.6424
0.45 0.02 1.57891
0.46 0.02 1.51668
0.47 0.02 1.45571
0.48 0.02 1.39603
0.49 0.02 1.33761
0.5 0.02 1.28047
0.51 0.02 1.2246
0.52 0.02 1.16997
0.53 0.02 1.11656
0.54 0.02 1.06436
0.55 0.02 1.01333
0.56 0.02 0.963443
0.57 0.02 0.914667
0.58 0.02 0.866965
0.59 0.02 0.820299
0.6 0.02 0.774628
0.61 0.02 0.729911
0.62 0.02 0.686104
0.63 0.02 0.643163
0.64 0.02 0.601044
0.65 0.02 0.5597
0.66 0.02 0.519084
0.67 0.02 0.479149
0.68 0.02 0.439848
0.69 0.02 0.401132
0.7 0.02 0.362954
0.71 0.02 0.325264
0.72 0.02 0.288015
0.73 0.02 0.251156
0.74 0.02 0.214641
0.75 0.02 0.178419
0.76 0.02 0.142441
0.77 0.02 0.10666
0.78 0.02 0.0710248
0.79 0.02 0.0354879
0.8 0.02 0
0 0.03 6.06304
0.01 0.03 6.06022
0.02 0.03 6.05174
0.03 0.03 6.03763
0.04 0.03 6.01792
0.05 0.03 5.99264
0.06 0.03 5.96184
0.07 0.03 5.92559
0.08 0.03 5.88396
0.09 0.03 5.83704
0.1 0.03 5.78494
0.11 0.03 5.72777
0.12 0.03 5.66568
0.13 0.03 5.59881
0.14 0.03 5.52734
0.15 0.03 5.45145
0.16 0.03 5.37135
0.17 0.03 5.28725
0.18 0.03 5.19938
0.19 0.03 5.10801
0.2 0.03 5.01337
0.21 0.03 4.91576
0.22 0.03 4.81543
0.23 0.03 4.7127
0.24 0.03 4.60783
0.25 0.03 4.50113
0.26 0.03 4.39289
0.27 0.03 4.28339
0.28 0.03 4.17293
0.29 0.03 4.06178
0.3 0.03 3.95021
0.31 0.03 3.83848
0.32 0.03 3.72683
0.33 0.03 3.6155
0.34 0.03 3.5047
0.35 0.03 3.39463
0.36 0.03 3.28548
0.37 0.03 3.17741
0.38 0.03 3.07059
0.39 0.03 2.96513
0.4 0.03 2.86117
0.41 0.03 2.7588
0.42 0.03 2.65812
0.43 0.03 2.55918
0.44 0.03 2.46207
0.45 0.03 2.3668
0.46 0.03 2.27343
0.47 0.03 2.18198
0.48 0.03 2.09244
0.49 0.03 2.00483
0.5 0.03 1.91914
0.51 0.03 1.83534
0.52 0.03 1.75342
0.53 0.03 1.67334
0.54 0.03 1.59507
0.55 0.03 1.51856
0.56 0.03 1.44378
0.57 0.03 1.37066
0.58 0.03 1.29915
0.59 0.03 1.2292
0.6 0.03 1.16075
0.61 0.03 1.09373
0.62 0.03 1.02807
0.63 0.03 0.963719
0.64 0.03 0.900597
0.65 0.03 0.838639
0.66 0.03 0.777774
0.67 0.03 0.717932
0.68 0.03 0.65904
0.69 0.03 0.601027
0.7 0.03 0.54382
0.71 0.03 0.487346
0.72 0.03 0.431533
0.73 0.03 0.376307
0.74 0.03 0.321594
0.75 0.03 0.267322
0.76 0.03 0.213417
0.77 0.03 0.159806
0.78 0.03 0.106415
0.79 0.03 0.0531707
0.8 0.03 0
0 0.04 8.09285
0.01 0.04 8.08907
0.02 0.04 8.07774
0.03 0.04 8.05889
0.04 0.04 8.03255
0.05 0.04 7.99876
0.06 0.04 7.9576
0.07 0.04 7.90914
0.08 0.04 7.8535
0.09 0.04 7.79078
0.1 0.04 7.72112
0.11 0.04 7.64468
0.12 0.04 7.56166
0.13 0.04 7.47224
0.14 0.04 7.37665
0.15 0.04 7.27515
0.16 0.04 7.16801
0.17 0.04 7.05551
0.18 0.04 6.93797
0.19 0.04 6.81573
0.2 0.04 6.68914
